"codigo_pais","pais","anio","pbi_pc","coef_gini","poblacion","exp_servicios","region","nivel_ingreso","pbi_indust_pc","pbi_indust_pc_idx","variacion_idx","grupo"
"BRA","Brazil",2013,9366.73824670239,52.7,198478299,37630635779.44,"Latin America & Caribbean","Upper middle income",1095.21543271808,183.274454349407,43.599561919508,"Menos industrializado"
"BRA","Brazil",2014,9338.34170840985,52.1,200085127,39497929858.17,"Latin America & Caribbean","Upper middle income",1035.49919574336,173.281479067658,43.599561919508,"Menos industrializado"
"BRA","Brazil",1986,6494.28013196959,58.4,138336370,1.816e+09,"Latin America & Caribbean","Upper middle income",1103.05547012853,184.586414111435,43.599561919508,"Menos industrializado"
"BRA","Brazil",1987,6591.60807033276,59.6,141104944,1.952e+09,"Latin America & Caribbean","Upper middle income",1091.06421473226,182.579785347758,43.599561919508,"Menos industrializado"
"BRA","Brazil",1988,6463.0047088078,61.4,143826357,2.279e+09,"Latin America & Caribbean","Upper middle income",1044.20065315212,174.737589720406,43.599561919508,"Menos industrializado"
"BRA","Brazil",1989,6545.42500266815,63.2,146502972,3.132e+09,"Latin America & Caribbean","Upper middle income",1055.83960405631,176.685263495301,43.599561919508,"Menos industrializado"
"BRA","Brazil",1990,6149.86718171298,60.5,149143223,3.762e+09,"Latin America & Caribbean","Upper middle income",953.949702148733,159.634904617978,43.599561919508,"Menos industrializado"
"BRA","Brazil",1991,6107.64813406258,NA,151724256,3.319e+09,"Latin America & Caribbean","Upper middle income",833.18105369419,139.425357266101,43.599561919508,"Menos industrializado"
"BRA","Brazil",1992,5973.98216883419,53.1,154275079,4.088e+09,"Latin America & Caribbean","Upper middle income",677.463004445371,113.367341960744,43.599561919508,"Menos industrializado"
"BRA","Brazil",1993,6167.46021218994,60.1,156794577,3.971e+09,"Latin America & Caribbean","Upper middle income",668.587369619799,111.882084283518,43.599561919508,"Menos industrializado"
"BRA","Brazil",1985,6167.51272700545,55.5,135515595,2.086e+09,"Latin America & Caribbean","Upper middle income",1009.47120509661,168.925928879914,43.599561919508,"Menos industrializado"
"CHL","Chile",1995,7201.13100361441,NA,14527381,3332900000,"Latin America & Caribbean","High income",1083.72810936974,124.847488556191,55.395401810376,"Menos industrializado"
"CHL","Chile",1986,4310.54362901388,NA,12588914,1041060000,"Latin America & Caribbean","High income",764.987950227013,88.1280309478496,55.395401810376,"Menos industrializado"
"CHL","Chile",1985,4153.37019930025,NA,12395274,692520000,"Latin America & Caribbean","High income",721.935465677751,83.1683048637808,55.395401810376,"Menos industrializado"
"CHL","Chile",1970,4039.58221003868,NA,9845344,NA,"Latin America & Caribbean","High income",868.041577690191,100,55.395401810376,"Menos industrializado"
"CHL","Chile",1971,4353.53619549239,NA,10009701,NA,"Latin America & Caribbean","High income",969.707986078776,111.712158841413,55.395401810376,"Menos industrializado"
"CHL","Chile",1987,4528.6333769652,56.2,12790150,1.045e+09,"Latin America & Caribbean","High income",792.682638897151,91.3185104573486,55.395401810376,"Menos industrializado"
"CHL","Chile",1988,4783.26035220905,NA,12999424,1089900000,"Latin America & Caribbean","High income",848.652614655688,97.7663554911625,55.395401810376,"Menos industrializado"
"CHL","Chile",1989,5192.61380044824,NA,13215005,1534250000,"Latin America & Caribbean","High income",926.234310506882,106.703910770212,55.395401810376,"Menos industrializado"
"CHL","Chile",1990,5290.53694835535,57.2,13437176,1848100000,"Latin America & Caribbean","High income",919.909466913837,105.975277055468,55.395401810376,"Menos industrializado"
"CHL","Chile",1991,5606.86557277047,NA,13662491,2126700000,"Latin America & Caribbean","High income",953.026218065571,109.790388220979,55.395401810376,"Menos industrializado"
"CHL","Chile",1992,6151.76546454326,54.8,13884577,2.36e+09,"Latin America & Caribbean","High income",1044.81962209786,120.365158645748,55.395401810376,"Menos industrializado"
"CHL","Chile",1993,6461.73217350303,NA,14102276,2514700000,"Latin America & Caribbean","High income",1086.01694332749,125.111166473997,55.395401810376,"Menos industrializado"
"CHL","Chile",1994,6688.29717704707,56.4,14316256,2839900000,"Latin America & Caribbean","High income",1063.12130974146,122.473547012617,55.395401810376,"Menos industrializado"
"CHL","Chile",2008,11356.0922105983,NA,16838988,10070862839.8929,"Latin America & Caribbean","High income",1275.62761885933,146.954668030269,55.395401810376,"Menos industrializado"
"CHL","Chile",1996,7605.28953010603,54.9,14734046,3588258163.34284,"Latin America & Caribbean","High income",1045.18636568693,120.407408187533,55.395401810376,"Menos industrializado"
"CHL","Chile",1997,8058.94228801535,NA,14932434,3892137934.79737,"Latin America & Caribbean","High income",1084.49312087763,124.935619301025,55.395401810376,"Menos industrializado"
"CHL","Chile",1998,8287.45061096547,55.5,15127799,3952290069.87113,"Latin America & Caribbean","High income",1065.32486683149,122.727400877071,55.395401810376,"Menos industrializado"
"CHL","Chile",1999,8161.45168872186,NA,15319313,3869315979.94565,"Latin America & Caribbean","High income",1055.40832715209,121.584997110446,55.395401810376,"Menos industrializado"
"CHL","Chile",2000,8465.35303258864,52.8,15503635,4083266402.75766,"Latin America & Caribbean","High income",1106.72805727923,127.497125221141,55.395401810376,"Menos industrializado"
"CHL","Chile",2001,8632.0148244056,NA,15683849,4138778254.65743,"Latin America & Caribbean","High income",1101.5784933129,126.903885899583,55.395401810376,"Menos industrializado"
"CHL","Chile",2002,8810.69052712257,NA,15857925,4387210813.26962,"Latin America & Caribbean","High income",1105.52185200829,127.358168136372,55.395401810376,"Menos industrializado"
"CHL","Chile",2003,9130.7842621819,51.5,16024752,4818836024.28714,"Latin America & Caribbean","High income",1115.83233484786,128.545954885828,55.395401810376,"Menos industrializado"
"CHL","Chile",2004,9642.37478651228,NA,16187322,5770557068.04736,"Latin America & Caribbean","High income",1157.0670004299,133.296264852749,55.395401810376,"Menos industrializado"
"CHL","Chile",2005,10104.4208391373,NA,16348778,6658489262.93344,"Latin America & Caribbean","High income",1198.19202755562,138.033944266119,55.395401810376,"Menos industrializado"
"CHL","Chile",2006,10611.6144012877,47.7,16509195,7366086263.18723,"Latin America & Caribbean","High income",1241.73296472129,143.049940997696,55.395401810376,"Menos industrializado"
"CHL","Chile",2007,11051.3450717678,NA,16671581,8553417670.22792,"Latin America & Caribbean","High income",1250.76085274046,144.089970444579,55.395401810376,"Menos industrializado"
"CHL","Chile",2023,14280.3475638842,NA,19658835,10282403461.9,"Latin America & Caribbean","High income",1348.8966975328,155.395401810376,55.395401810376,"Menos industrializado"
"CHL","Chile",2009,11116.4093443103,47.4,17009731,8077148793.47653,"Latin America & Caribbean","High income",1205.58622546144,138.885769581387,55.395401810376,"Menos industrializado"
"CHL","Chile",1972,4252.43567121887,NA,10174678,NA,"Latin America & Caribbean","High income",975.322109935471,112.358916324117,55.395401810376,"Menos industrializado"
"CHL","Chile",2010,11649.2897090856,NA,17181464,10199055800.8022,"Latin America & Caribbean","High income",1234.48375953046,142.214819112161,55.395401810376,"Menos industrializado"
"CHL","Chile",2011,12252.8441074615,46.9,17351816,11980051122.2246,"Latin America & Caribbean","High income",1340.91928489894,154.476389076552,55.395401810376,"Menos industrializado"
"CHL","Chile",2015,13433.9202987032,45.3,18047625,8557378164.3002,"Latin America & Caribbean","High income",1397.24198290596,160.964868367704,55.395401810376,"Menos industrializado"
"CHL","Chile",2016,13505.097711133,NA,18267221,8600293003.49038,"Latin America & Caribbean","High income",1379.18143543886,158.884259796492,55.395401810376,"Menos industrializado"
"CHL","Chile",2017,13473.3458532934,45.3,18558868,9193561249.07127,"Latin America & Caribbean","High income",1370.33683669306,157.86534561391,55.395401810376,"Menos industrializado"
"CHL","Chile",2018,13763.0068844795,NA,18893191,9225695084.83657,"Latin America & Caribbean","High income",1416.38921122227,163.170664588578,55.395401810376,"Menos industrializado"
"CHL","Chile",2019,13630.5935435578,NA,19197744,8462393768.2284,"Latin America & Caribbean","High income",1368.94122932333,157.704569056012,55.395401810376,"Menos industrializado"
"CHL","Chile",2020,12679.024004022,47,19370624,5554458259.88661,"Latin America & Caribbean","High income",1327.06752039817,152.880640110514,55.395401810376,"Menos industrializado"
"CHL","Chile",2021,14051.4713630677,NA,19456334,5843895345.68061,"Latin America & Caribbean","High income",1396.60036992629,160.89095336223,55.395401810376,"Menos industrializado"
"CHL","Chile",2022,14283.1489501524,43.2,19553036,8563921730.5,"Latin America & Caribbean","High income",1331.54933258632,153.39695318852,55.395401810376,"Menos industrializado"
"CHL","Chile",1981,4866.12669776366,NA,11678717,1.172e+09,"Latin America & Caribbean","High income",840.881438014562,96.871101526277,55.395401810376,"Menos industrializado"
"CHL","Chile",1983,3975.62230556306,NA,12026138,7.97e+08,"Latin America & Caribbean","High income",665.4406381876,76.6599959368651,55.395401810376,"Menos industrializado"
"CHL","Chile",1984,4072.50464907353,NA,12207733,6.64e+08,"Latin America & Caribbean","High income",713.850383346366,82.2368883810705,55.395401810376,"Menos industrializado"
"CHL","Chile",1975,3419.8279711603,NA,10671559,2.48e+08,"Latin America & Caribbean","High income",623.204587045164,71.7943244957776,55.395401810376,"Menos industrializado"
"CHL","Chile",1976,3488.60951805533,NA,10838251,2.97e+08,"Latin America & Caribbean","High income",650.535025851507,74.9428417452702,55.395401810376,"Menos industrializado"
"CHL","Chile",1973,3973.5039726836,NA,10340362,NA,"Latin America & Caribbean","High income",885.52445571377,102.014059979719,55.395401810376,"Menos industrializado"
"CHL","Chile",1974,3959.79582475475,NA,10505817,NA,"Latin America & Caribbean","High income",849.331102164496,97.8445185107973,55.395401810376,"Menos industrializado"
"CHL","Chile",1979,4341.27884005509,NA,11339779,7.85e+08,"Latin America & Caribbean","High income",795.309366468107,91.621114346202,55.395401810376,"Menos industrializado"
"CHL","Chile",1980,4627.19349061049,NA,11508550,1.263e+09,"Latin America & Caribbean","High income",832.028691743696,95.8512487336927,55.395401810376,"Menos industrializado"
"CHL","Chile",1977,3818.62804303532,NA,11005519,4.17e+08,"Latin America & Caribbean","High income",695.029256906555,80.0686597013,55.395401810376,"Menos industrializado"
"CHL","Chile",1978,4063.41850322282,NA,11172695,4.81e+08,"Latin America & Caribbean","High income",748.077149308781,86.1798753118913,55.395401810376,"Menos industrializado"
"CHL","Chile",2012,12882.834417927,NA,17519119,11302595149.9144,"Latin America & Caribbean","High income",1396.70289516239,160.902764459617,55.395401810376,"Menos industrializado"
